doid_code_0	doid_name_0	doid_code_1	doid_name_1	cooccurrence	expected	enrichment	odds_ratio	p_fisher
DOID:10652	Alzheimer's disease	DOID:12849	autistic disorder	41	276.5429796800351	0.1482590519833036	0.14563513972643266	1.0
DOID:10652	Alzheimer's disease	DOID:12930	dilated cardiomyopathy	1	223.83221173496173	0.00446763221543865	0.004378809109732762	1.0
DOID:10652	Alzheimer's disease	DOID:13189	gout	0	15.41936613973529	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:13223	uterine fibroid	1	295.33114211769083	0.0033860296372046515	0.0033151791394949223	1.0
DOID:10652	Alzheimer's disease	DOID:14268	sclerosing cholangitis	0	50.833627719366454	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:8986	narcolepsy	11	51.36995349813985	0.21413295615302277	0.21117799531200235	1.0
DOID:10652	Alzheimer's disease	DOID:90	degenerative disc disease	0	31.57618022528401	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:9296	cleft lip	0	203.18366925218578	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:0050156	idiopathic pulmonary fibrosis	3	24.1681804059764	0.12413015583325207	0.12226640803785152	1.0
DOID:10652	Alzheimer's disease	DOID:1094	attention deficit hyperactivity disorder	54	354.39401850511166	0.15237277487859496	0.14954416771164702	1.0
DOID:10652	Alzheimer's disease	DOID:11119	Gilles de la Tourette syndrome	13	60.94001661312773	0.21332452340026983	0.21035461517753923	1.0
DOID:10652	Alzheimer's disease	DOID:14004	thoracic aortic aneurysm	1	148.98124523489892	0.006712254273504687	0.006586256143929542	1.0
DOID:10652	Alzheimer's disease	DOID:4481	allergic rhinitis	1	299.5882279867047	0.0033379148664158414	0.0032678647707870562	1.0
DOID:10652	Alzheimer's disease	DOID:4989	pancreatitis	4	742.6771221564676	0.005385920584688858	0.005239084074131556	1.0
DOID:10652	Alzheimer's disease	DOID:585	nephrolithiasis	0	270.60987575235436	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:824	periodontitis	10	405.9818543508782	0.024631642751592766	0.024088902813593042	1.0
DOID:10652	Alzheimer's disease	DOID:9206	Barrett's esophagus	0	107.56683900524033	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:12185	otosclerosis	0	79.9125410372368	0.0	0.0	1.0
DOID:10652	Alzheimer's disease	DOID:12995	conduct disorder	1	38.16293119584484	0.026203437960993926	0.02576161640910012	1.0
DOID:10652	Alzheimer's disease	DOID:1312	focal segmental glomerulosclerosis	1	74.41520180480944	0.013438114467834047	0.01320171854900111	1.0
DOID:10652	Alzheimer's disease	DOID:216	dental caries	11	627.685523151333	0.01752469922322541	0.0170810367560217	1.0
DOID:10652	Alzheimer's disease	DOID:2355	anemia	37	2316.8100430369873	0.015970234638442174	0.015184378585399571	1.0
DOID:10652	Alzheimer's disease	DOID:594	panic disorder	6	102.17006085633297	0.05872561834368421	0.05771720016007415	1.0
DOID:10652	Alzheimer's disease	DOID:635	acquired immunodeficiency syndrome	67	1222.0853276575417	0.054824322396885075	0.05304544092332562	1.0
DOID:9206	Barrett's esophagus	DOID:5041	esophageal cancer	3550	61.700728704548474	57.53578725137974	139.83401930317018	0.0
DOID:9206	Barrett's esophagus	DOID:11934	head and neck cancer	3561	384.9564134866688	9.250397902835093	19.80201261947762	0.0
DOID:9206	Barrett's esophagus	DOID:10534	stomach cancer	259	119.18526664983088	2.173087389743802	2.226528720212064	2.2029179126482883e-29
DOID:9206	Barrett's esophagus	DOID:418	systemic scleroderma	30	26.279483075586366	1.1415749660566952	1.142490694536413	0.2579909053096693
DOID:9206	Barrett's esophagus	DOID:10021	duodenum cancer	6	8.581968388923075	0.6991403053574894	0.6985337462576072	0.856841161657006
DOID:9206	Barrett's esophagus	DOID:0050156	idiopathic pulmonary fibrosis	1	2.223755330966231	0.4496897595139191	0.449222047136461	0.8920252086433279
DOID:9206	Barrett's esophagus	DOID:13499	jejunal cancer	1	2.9917374078186465	0.3342539346490058	0.33380678884245957	0.949950615798913
DOID:9206	Barrett's esophagus	DOID:10153	ileum cancer	1	4.035761235186287	0.24778472801645832	0.24737991687790317	0.9824051235715544
DOID:9206	Barrett's esophagus	DOID:10608	celiac disease	15	25.792169147302506	0.5815718683579115	0.580215148251591	0.9916946806838745
DOID:9206	Barrett's esophagus	DOID:8577	ulcerative colitis	26	43.62539151019674	0.595983190063129	0.5939666383212536	0.9984663498270023
DOID:9206	Barrett's esophagus	DOID:12236	primary biliary cirrhosis	2	10.895167415586977	0.18356762440738045	0.18308186775027602	0.9997826061740677
DOID:9206	Barrett's esophagus	DOID:0050742	nicotine dependence	2	12.881434313149049	0.1552622131495442	0.15479651965762758	0.9999653665180209
DOID:9206	Barrett's esophagus	DOID:1245	vulva cancer	1	11.043212153293467	0.09055336310837472	0.09028460104662632	0.9999843007428386
DOID:9206	Barrett's esophagus	DOID:219	colon cancer	63	106.27915821373075	0.5927785001204564	0.5883652354448804	0.9999981086983888
DOID:9206	Barrett's esophagus	DOID:14221	metabolic syndrome X	10	32.49273566120561	0.3077610978733134	0.30635161354574586	0.9999989032092557
DOID:9206	Barrett's esophagus	DOID:14004	thoracic aortic aneurysm	1	13.708017432010282	0.0729500093620285	0.07270122173507673	0.9999989258484999
DOID:9206	Barrett's esophagus	DOID:5559	mediastinal cancer	1	18.928136568848487	0.052831402413155565	0.0526066123781219	0.9999999960751742
DOID:9206	Barrett's esophagus	DOID:13223	uterine fibroid	4	27.173920032563075	0.14719996214041686	0.14647437359373747	0.9999999971789383
DOID:9206	Barrett's esophagus	DOID:1790	malignant mesothelioma	1	18.260393116484842	0.054763333605191394	0.054536185027945196	0.9999999976397025
DOID:9206	Barrett's esophagus	DOID:3571	liver cancer	12	201.96232275265638	0.05941702311820023	0.057568727884247946	0.9999999990817954
DOID:9206	Barrett's esophagus	DOID:263	kidney cancer	3	93.28977461267071	0.03215786523716756	0.03165722829390194	0.9999999996155519
DOID:9206	Barrett's esophagus	DOID:2531	hematologic cancer	0	15.914809303447644	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:1319	brain cancer	4	189.26131796358712	0.021134799456324082	0.020492419314663727	1.0
DOID:9206	Barrett's esophagus	DOID:1324	lung cancer	17	278.88544318533775	0.060956928428503095	0.058374468691026166	1.0
DOID:9206	Barrett's esophagus	DOID:1793	pancreatic cancer	9	89.23242351990223	0.10086019907318394	0.09945748910465367	1.0
DOID:9206	Barrett's esophagus	DOID:4159	skin cancer	4	154.27186948626894	0.0259282525927776	0.025281812665140686	1.0
DOID:9206	Barrett's esophagus	DOID:184	bone cancer	2	161.20684016820732	0.012406421451553476	0.012079666856029642	1.0
DOID:9206	Barrett's esophagus	DOID:0060119	pharynx cancer	6	42.1033065506519	0.1425066222003673	0.14151556257354506	1.0
DOID:9206	Barrett's esophagus	DOID:2394	ovarian cancer	2	101.7668779790517	0.01965275971629681	0.019317443483836138	1.0
DOID:9206	Barrett's esophagus	DOID:1612	breast cancer	10	349.8096674755374	0.02858697437428401	0.027028143069812573	1.0
DOID:9206	Barrett's esophagus	DOID:3070	malignant glioma	1	97.44582219724353	0.010262112602178724	0.010092209924323378	1.0
DOID:9206	Barrett's esophagus	DOID:363	uterine cancer	4	165.69753054530418	0.024140371837987895	0.02349543786497931	1.0
DOID:9206	Barrett's esophagus	DOID:3953	adrenal gland cancer	1	37.70051773656827	0.026524834671700876	0.026333304481414424	1.0
DOID:9206	Barrett's esophagus	DOID:8850	salivary gland cancer	1	22.441114824008732	0.04456106605408682	0.044346502588890946	1.0
DOID:9206	Barrett's esophagus	DOID:10283	prostate cancer	2	149.89992332587417	0.013342234976679142	0.01301436560962282	1.0
DOID:9206	Barrett's esophagus	DOID:11054	urinary bladder cancer	4	69.71673439828112	0.057375033907190884	0.056703716460433935	1.0
DOID:9206	Barrett's esophagus	DOID:1192	peripheral nervous system neoplasm	0	28.52174399876591	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:1781	thyroid cancer	0	62.48567424092976	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:4362	cervical cancer	4	93.82335252148786	0.04263330921887386	0.04197327444446584	1.0
DOID:9206	Barrett's esophagus	DOID:119	vaginal cancer	0	7.371394231635634	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:1993	rectum cancer	5	60.12312696836369	0.08316267386809338	0.0823301574901931	1.0
DOID:9206	Barrett's esophagus	DOID:2174	ocular cancer	2	52.54971335506608	0.03805919903856505	0.03770286271466957	1.0
DOID:9206	Barrett's esophagus	DOID:2596	larynx cancer	3	37.702059869252714	0.07957124916791615	0.0790277950708376	1.0
DOID:9206	Barrett's esophagus	DOID:2994	germ cell cancer	22	436.57930509838485	0.05039176099985366	0.04705138684681929	1.0
DOID:9206	Barrett's esophagus	DOID:3277	thymus cancer	0	15.012661683048723	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:4045	muscle cancer	0	18.100011317302812	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:1115	sarcoma	3	181.67556728881397	0.01651295242816459	0.016027963830342645	1.0
DOID:9206	Barrett's esophagus	DOID:11239	appendix cancer	0	3.631722471862326	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:11615	penile cancer	0	7.112315940649276	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:11819	ureter cancer	0	6.382887180907926	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:11920	tracheal cancer	0	5.0103890917540115	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:1725	peritoneum cancer	0	19.16099860419932	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:175	vascular cancer	0	4.222359290003842	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:1909	melanoma	6	117.8035157645703	0.05093226599442896	0.049969560667433105	1.0
DOID:9206	Barrett's esophagus	DOID:1964	fallopian tube cancer	0	3.670275788973391	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:2998	testicular cancer	2	34.87224639330054	0.05735219857772709	0.056974950179281794	1.0
DOID:9206	Barrett's esophagus	DOID:3121	gallbladder cancer	0	11.34701229212866	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:3565	meningioma	0	31.346931076664756	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:4606	bile duct cancer	1	21.670048481787433	0.04614664341154792	0.04593010299631232	1.0
DOID:9206	Barrett's esophagus	DOID:5612	spinal cancer	0	14.523805622080419	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:5875	retroperitoneal cancer	0	12.250702045212025	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:8778	Crohn's disease	12	48.62806993852855	0.24677105250464135	0.2450727806724215	1.0
DOID:9206	Barrett's esophagus	DOID:2377	multiple sclerosis	1	71.38069556479468	0.01400938996303652	0.013834431616301143	1.0
DOID:9206	Barrett's esophagus	DOID:9352	type 2 diabetes mellitus	4	140.54997286009868	0.0284596284054892	0.02781107311560386	1.0
DOID:9206	Barrett's esophagus	DOID:9744	type 1 diabetes mellitus	2	96.9415448094308	0.020630989571412663	0.020294529941452446	1.0
DOID:9206	Barrett's esophagus	DOID:7148	rheumatoid arthritis	1	146.9575341639577	0.006804686848408325	0.006639487146524186	1.0
DOID:9206	Barrett's esophagus	DOID:3393	coronary artery disease	1	62.89742366767593	0.01589890239834922	0.01572141120413704	1.0
DOID:9206	Barrett's esophagus	DOID:9970	obesity	109	229.61430391739665	0.47470910191732896	0.4652422233021377	1.0
DOID:9206	Barrett's esophagus	DOID:9074	systemic lupus erythematosus	0	77.05265957817457	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:9835	refractive error	0	41.413973240706056	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:12306	vitiligo	0	6.288817087156928	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:10871	age related macular degeneration	1	26.171533787675386	0.03820945337452544	0.0380028869617377	1.0
DOID:9206	Barrett's esophagus	DOID:2841	asthma	15	166.9142732333294	0.08986649080052912	0.08760792000551425	1.0
DOID:9206	Barrett's esophagus	DOID:8893	psoriasis	0	47.64573141853861	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:5419	schizophrenia	0	134.25190297683508	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:6364	migraine	0	34.26927251368348	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:10652	Alzheimer's disease	0	107.56683900524033	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:12361	Graves' disease	0	22.4796681411198	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:14330	Parkinson's disease	0	76.10270584455793	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:3310	atopic dermatitis	1	22.974692732825872	0.04352615339099687	0.04331288446627049	1.0
DOID:9206	Barrett's esophagus	DOID:3312	bipolar disorder	1	50.17174475565559	0.019931537260068584	0.019748677193363092	1.0
DOID:9206	Barrett's esophagus	DOID:7147	ankylosing spondylitis	0	18.753875575506473	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:11612	polycystic ovary syndrome	0	16.58872128654906	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:10763	hypertension	4	331.1436934630442	0.012079348267722338	0.011444830821062906	1.0
DOID:9206	Barrett's esophagus	DOID:13241	Behcet's disease	0	11.852831812625833	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:5408	Paget's disease of bone	0	7.405321150693371	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:1024	leprosy	0	31.451796099206852	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:10941	intracranial aneurysm	0	34.50984521245653	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:1686	glaucoma	0	66.85916253400897	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:332	amyotrophic lateral sclerosis	0	20.95604104889051	0.0	0.0	1.0
DOID:9206	Barrett's esophagus	DOID:0050425	restless legs syndrome	0	4.2316120861104976	0.0	0.0	1.0
